transfer_bits,bandwidth_bits,jitter_ms,cnt_missingdatagrams,cnt_datagrams,cnt_errorrate,cnt_outoforders
-29446,-235568,-0.44,3,37,8,12
8551,68408,-0.13,12,37,32,-4
45016,360128,-0.59,-26,95,-28,-44
4794,38352,-0.16,0,14,0,-6
-45331,-362648,0.05,-33,52,-64,-2
21435,171480,-0.3,2,45,4,14
-2033,-16264,0.36,-54,57,-95,-26
36577,292616,-0.23,-10,47,-22,-6
-43949,-351592,-0.87,54,-58,-94,-11
34498,275984,0.27,20,-78,-26,-1
-39795,-318360,-0.19,36,-53,-68,-7
21160,169280,0.83,-63,-97,64,37
-16119,-128952,0.2,5,-19,-27,-8
-38828,-310624,-0.7,66,70,94,-12
-41255,-330040,-0.57,10,33,30,-5
47296,378368,-0.78,-6,-33,18,-10
-3164,-25312,0.6,6,27,22,6
-32021,-256168,-0.81,-17,29,-59,11
23893,191144,0.94,14,-91,-16,7
17020,136160,-0.74,-3,-86,3,4
43181,345448,-0.7,-29,-53,54,-23
-37123,-296984,-0.42,-9,-14,64,7
-35999,-287992,-0.37,26,-83,-32,-27
22165,177320,0.97,-51,66,-78,16
-1697,-13576,0.02,73,-82,-90,-37
-16867,-134936,-0.05,-1,-2,50,0
-23791,-190328,0.46,-53,63,-85,9
39951,319608,0.34,2,3,66,-1
-20677,-165416,-0.3,4,35,11,4
-25948,-207584,0.01,3,-5,-60,-1
49253,394024,0.64,-6,6,-100,-3
13528,108224,-0.35,49,58,84,27
36048,288384,0.26,-50,90,-56,39
4587,36696,0.16,-63,77,-82,-31
-8660,-69280,-0.68,-37,-89,41,34
-45596,-364768,-0.16,-23,-28,82,12
23254,186032,0.06,9,14,64,4
17682,141456,0.64,55,-100,-55,-20
-28764,-230112,0.37,8,23,34,-11
10172,81376,-0.21,-69,99,-70,34
161,1288,0.83,7,-7,-100,1
-42182,-337456,0.88,-11,-45,24,-3
29170,233360,-0.89,-13,86,-16,25
-1144,-9152,0.08,-70,-74,94,-18
1220,9760,-0.34,-4,41,-10,15
1476,11808,1.0,-29,-44,65,7
40097,320776,0.9,-5,37,-14,-10
-40073,-320584,0.26,-1,2,-50,0
-5980,-47840,0.58,-6,-98,6,-44
14548,116384,0.85,13,16,81,-4
-37869,-302952,0.32,27,-59,-46,5
13797,110376,-0.83,10,-84,-12,15
-4494,-35952,-0.16,4,9,44,2
5496,43968,-0.57,5,36,13,-7
-13269,-106152,-0.19,57,-68,-84,-2
3221,25768,0.31,19,-26,-74,-8
-41303,-330424,-0.36,18,-22,-82,-8
44745,357960,-0.91,43,-71,-61,-16
17803,142424,-0.89,54,74,72,6
-30586,-244688,-0.84,-79,-91,86,38
-16615,-132920,0.06,-2,3,-67,1
45928,367424,-0.3,8,-22,-37,6
-5999,-47992,0.21,-3,47,-7,-21
10474,83792,0.41,0,11,0,1
-27683,-221464,-0.54,11,-40,-28,-1
-22518,-180144,0.36,-3,31,-10,-14
-30959,-247672,0.16,-8,9,-89,-2
21861,174888,-0.84,67,82,81,-20
-6420,-51360,0.23,5,17,29,-8
25839,206712,-0.33,-11,-13,84,-6
10849,86792,-0.88,75,82,91,8
31380,251040,-0.17,-8,25,-32,8
-20455,-163640,0.13,6,10,60,-4
16226,129808,0.68,37,90,41,-7
-3418,-27344,0.18,59,-82,-72,3
15662,125296,-0.24,21,79,26,-10
16439,131512,0.98,-71,100,-71,41
44217,353736,0.03,-5,-11,45,-5
29685,237480,0.61,60,83,72,-17
44570,356560,0.14,-22,-99,22,-10
33708,269664,0.79,-5,13,-39,5
29396,235168,-0.69,-2,21,-10,0
49605,396840,-0.07,66,-74,-90,23
23419,187352,0.16,-11,-34,32,14
-34372,-274976,0.86,81,90,90,4
22848,182784,-0.17,-38,47,-81,-16
-15364,-122912,0.68,56,-72,-78,-8
49237,393896,-0.92,-28,57,-50,10
948,7584,0.59,49,85,57,33
-29813,-238504,-0.49,-3,4,-75,1
47464,379712,0.99,5,-25,-20,9
46492,371936,0.7,-58,58,-100,-10
45945,367560,0.47,40,-68,-59,-9
-35737,-285896,-0.68,-2,-31,6,-12
35710,285680,0.08,32,74,43,-26
-7092,-56736,-1.0,-17,66,-26,-18
28615,228920,0.96,0,12,0,1
28587,228696,0.16,-11,56,-20,-3
15221,121768,0.79,-1,-8,12,1
-4194,-33552,-0.67,25,35,71,-6
-3338,-26704,0.09,29,-85,-35,18
27551,220408,-0.89,31,-49,-64,-12
-4890,-39120,0.19,0,47,0,-9
-4824,-38592,1.0,24,-33,-73,-6
